dim2,dim5,dim9,dim12
-1.131485588,0.303920158,-1.096129371,-0.936351277
-1.049327732,0.95555278,-1.054218362,-1.030509187
-0.99933509,-0.543115622,-1.003393443,-1.090801895
-1.089344598,1.057915062,-1.072202563,-0.972036335
-1.032220992,1.579914204,-1.101290054,-0.956607097
-1.058279373,-1.292640409,-1.175181664,-0.994824129
-1.115365046,-0.460470379,-0.883915791,-0.978761898
-1.073906811,0.464775176,-0.820814702,-0.968238368
-1.102544478,0.076879639,-0.901274455,-1.15964003
-1.113430585,-0.403987465,-1.065321653,-1.033278537
-1.092910082,0.058548683,-1.020830301,-0.978761898
-1.086841174,-0.512448518,-0.910266556,-1.025128733
-1.060782797,0.855546838,-1.061959389,-0.996248368
-1.080848128,0.189221728,-0.974853299,-0.856435742
-1.07603093,1.583691281,-0.857408643,-0.931920317
-0.790678409,-0.49678577,-1.07712867,-0.947507804
-0.740837493,-0.404853768,-0.934193364,-0.914987721
-0.781688839,-0.923283741,-0.975869795,-0.990867916
-0.606069778,0.894253227,-0.996903493,-0.949327663
-0.768792405,-0.803560756,-1.124747709,-1.076717772
-0.593931962,-0.77015614,-0.947798804,-1.04957814
-0.897149836,-1.360627814,-1.100664518,-0.977733284
-0.760599378,0.410267434,-1.028102174,-0.955815855
-0.876136237,1.271753134,-0.93732105,-0.995773621
-0.633721249,0.176227192,-0.920900693,-1.078933253
-0.802967951,0.93209331,-0.953194064,-0.91736145
-0.463184903,-1.087534665,-1.009179667,-1.146663647
-0.826864279,1.244377978,-0.981186865,-0.954549866
-0.600076733,-1.202648921,-1.065712613,-1.080911361
-0.635390197,-0.064050427,-0.966330351,-0.974251815
-0.642028068,0.956453733,-0.892673318,-1.054958592
-0.93143917,1.267456273,-0.85224796,-0.972985826
-0.754644261,-0.980459695,-1.045773605,-0.976467295
-0.840860702,-1.087950491,-1.187066878,-0.919339555
-0.574283869,0.631070573,-1.195980785,-1.161143391
-0.675710513,-1.625369811,-1.023645221,-1.146109777
-0.583159647,0.179311229,-0.959371248,-1.075847404
-0.607511147,-0.919160142,-0.957963788,-1.008591757
-0.717737707,1.29420769,-0.966095775,-1.060892913
-0.840329672,-0.395705613,-0.907764409,-0.904780685
-0.883456859,-1.220113574,-0.907998985,-1.044830682
-0.526832584,-0.207371487,-0.86303848,-0.855169756
-0.609407679,-0.04755603,-1.061490236,-1.020223028
-0.765492438,-1.486175816,-1.109343848,-1.041349213
-0.714665324,-0.280348794,-0.92113527,-0.935797407
-0.561956398,0.329770619,-1.057737009,-1.140966697
-0.845222729,0.343007719,-0.970552728,-0.87368484
-0.45874701,-0.399794562,-0.918476736,-0.905176309
-0.833198704,1.253041002,-0.988615123,-0.995378
-0.842719304,0.224358949,-0.968441538,-1.04237783
-0.867032871,-0.084807031,-1.069153069,-1.017453678
-0.680186332,-1.127211311,-0.985878396,-0.98469622
-0.727447962,0.605601284,-0.987051279,-1.037393
-0.606866325,0.066380055,-0.967737811,-1.090010653
-0.634972959,-0.067377028,-1.031229861,-0.984221476
-0.545001383,-0.921516482,-0.911126672,-0.88254676
-0.763178664,0.451745989,-0.930674717,-1.118416275
-0.794888715,0.004976544,-0.968363348,-0.992054779
-0.837143497,-1.683511867,-1.074391943,-1.03612701
-0.543863461,0.937776255,-1.174321551,-1.0764804
-0.663079596,0.133570463,-1.057971586,-1.118258025
-0.995807539,1.225492587,-1.118257758,-0.905730179
-0.507867246,-1.12551336,-1.055704012,-1.138197347
-0.762723497,0.028436011,-0.889389245,-0.905651053
-0.610735255,-0.360984218,-1.022550528,-0.960167689
-0.794926645,-1.703801358,-0.986973086,-1.033199411
-0.852770935,-1.195510588,-1.102071978,-1.031933422
-0.815826452,-1.47166352,-0.926295953,-1.01270622
-0.529829109,-0.616924581,-1.00003118,-0.917519696
-0.731961714,-0.328307292,-1.00534825,-0.996090119
-0.674534662,1.465527642,-1.041942188,-1.017849299
-0.536808356,-1.160754539,-0.952255758,-0.846070461
-0.686634549,-1.5571537,-0.932394943,-1.022675881
-0.661183061,0.761154533,-0.950300954,-1.004398169
-0.637059149,0.904198376,-1.056798702,-0.990076674
-0.811350633,0.712537645,-0.977042679,-1.019748281
-0.828381506,-0.878721148,-0.971725612,-1.040241473
-0.773419949,-1.309793195,-0.995261456,-1.00479379
-0.816964374,1.643050316,-1.032246358,-0.96902961
-0.321703458,-0.347989682,-0.951395644,-1.060180794
-0.831036655,-0.904952781,-1.027711214,-0.850422298
-0.755289083,1.010753565,-0.92574861,-0.983192859
-0.539122126,0.058132857,-1.15133305,-0.962383169
-0.478243381,0.901045034,-0.973054878,-1.151331979
-0.771826859,-1.571468479,-0.953272258,-0.970216476
-0.679769094,-1.438525722,-1.005113673,-0.982876364
-0.558125397,-0.276744976,-0.915583626,-1.053929975
-0.707648148,-0.555936896,-0.995965186,-0.98801944
-0.829557358,-0.893275027,-1.142497333,-1.048866021
-0.77565786,-1.553019705,-0.947720611,-0.995694498
-0.653483133,-1.695991469,-0.970396345,-0.986753454
-0.664824407,-1.224375782,-1.231401844,-1.028451953
-0.883760301,-0.228197392,-0.975635222,-1.020618649
-0.977714602,-1.557212609,-1.045773605,-0.910952381
-0.650865917,1.529495407,-0.981890595,-0.949011165
-0.67722774,-0.022121391,-1.066259959,-1.01879879
-0.687582817,-0.979558742,-1.031933591,-0.882230262
-0.802892088,1.705146871,-1.125842399,-0.937854641
-0.797619723,-0.644819515,-0.929110873,-0.922108905
-0.471795165,-1.672656057,-1.058909892,-1.0204604
-0.807709286,-0.848331262,-1.021299454,-1.041190964
-0.958294093,-1.13708716,-1.046790105,-0.892832919
-0.892901597,1.619313632,-0.937790204,-1.134162008
-0.777364741,0.502719217,-1.027085674,-0.949565035
-0.703627493,1.064325701,-0.969067078,-1.033674158
-0.578570037,-0.799541115,-1.038345348,-0.953204753
-0.765416576,1.306093357,-0.946938691,-0.967209753
-0.767047594,1.132936845,-1.08314947,-0.962224923
-0.747816739,-1.701031271,-1.165173067,-1.037393
-0.61213869,-1.296971917,-1.025912791,-0.955578483
-0.797619723,0.092992864,-1.088622921,-1.034702772
-0.668010582,0.226576684,-1.046320952,-0.977258537
-0.766478635,-0.623716392,-0.980717712,-1.084788451
-0.825043606,-0.583034831,-1.116772105,-0.909369894
-0.569163225,1.630125088,-1.036859698,-1.14674277
-0.767313111,0.241719648,-0.947407844,-0.941494357
-0.949418314,-1.159853583,-0.852795303,-1.06595687
-0.818633322,-1.709175276,-1.089404844,-0.932948934
-0.914901393,1.677425193,-0.988224162,-0.967288876
-0.602504294,1.450488633,-1.049605022,-0.958426956
-0.580276915,0.999075808,-1.047493835,-1.052030993
-0.589797519,0.146183827,-0.963359048,-0.927964104
-0.61991448,-0.491102829,-1.115286455,-1.149670369
-0.690958646,0.987294095,-1.093079877,-0.978287154
-0.715006699,0.965116757,-1.06672911,-1.041428339
-0.508056897,-0.996053139,-1.025834601,-1.082256473
-0.733441012,-1.493892838,-0.939197664,-0.871469359
-0.601100859,-1.523274346,-0.987129472,-1.048707772
-0.789957725,0.201246004,-0.946938691,-1.080120116
-0.991066204,-1.60631116,-0.971334652,-1.007958761
-0.545304826,0.628437015,-1.01262012,-0.921080291
-0.664141656,1.023748098,-1.096911294,-1.046413169
-0.653938301,-0.307966514,-1.022706914,-0.802710348
-0.634555721,-0.323871825,-1.024036181,-1.017295429
-0.71235155,-0.332708109,-0.926374146,-1.082414722
-0.829481499,-1.569337376,-1.103244858,-1.025207859
-0.822085014,-1.523080296,-1.076894093,-1.03335766
-0.775923373,-0.076941005,-0.986582126,-1.071337321
-0.726499694,-1.294996749,-0.938806704,-0.967921869
-0.764089003,-1.377732088,-0.928798103,-1.023467123
-0.709923988,0.073795602,-1.0018296,-1.019431786
-0.488977763,-1.425915824,-1.167284254,-1.093333874
-0.779223344,0.776158888,-0.944514734,-0.998938595
-0.787188788,0.222730303,-0.961717011,-1.045305429
-0.824360855,0.799306487,-1.068762106,-0.9924504
-0.817229887,0.530683459,-1.176745508,-0.986674328
-0.617942082,0.341275114,-1.002767907,-1.049103393
-0.848257187,-0.177085555,-1.080256357,-0.964282154
-0.469974491,1.704072656,-1.135772806,-0.951622266
-0.963869905,0.787247561,-0.984001782,-1.168422827
-0.577318323,0.813860366,-0.912143169,-0.89876724
-0.426543862,1.663148531,-1.116850298,-0.894652778
1.45993861,-0.395463049,-0.976338949,-1.019273537
1.45728346,-1.66936411,-1.060551929,-1.091276643
1.464262707,-0.542873055,-0.978059179,-0.99300427
1.478372922,0.30201429,-0.982594325,-1.065798621
1.495821033,-1.403877095,-1.022394144,-0.913721732
1.461038599,-0.514354382,-0.843881396,-0.981056504
1.387415145,-0.099846037,-1.023801604,-1.091355766
1.415332129,-1.258681355,-0.995417843,-1.061209411
1.44283187,1.201478689,-1.072906293,-1.009066502
1.455576579,-0.255849766,-1.100429941,-0.938012887
1.361167114,1.351106426,-1.040456538,-1.06358314
1.45675243,-1.437389132,-1.101211861,-0.923691392
1.432969894,-0.72878154,-0.978059179,-0.975834299
1.45500762,-1.484845175,-1.097458638,-1.212020311
1.366287755,1.318776026,-0.890718511,-1.117229408
1.493507263,0.383030886,-1.033497435,-0.98746557
1.433007824,0.197191709,-1.080099973,-1.011123736
1.444766335,-0.808827875,-1.094330951,-0.916965826
1.465135112,1.747422424,-1.002611523,-0.987940317
1.440176725,0.792965156,-1.037563428,-0.986832577
1.435283664,0.3509777,-0.915661819,-1.057648819
1.420907936,1.117378055,-0.891656818,-0.966102013
1.43380437,0.706265615,-1.082367547,-0.89378241
1.449507671,-1.644542815,-1.064305153,-1.00867088
1.380208315,0.247021418,-0.966252158,-1.08550057
1.384342758,1.089483122,-1.0018296,-1.083997206
1.395646102,-0.662561389,-1.113097075,-0.999492465
1.37440492,0.416747374,-0.85302988,-1.042061332
1.449886979,-0.047937202,-0.986269356,-0.99300427
1.466045447,-1.668411178,-0.93505348,-1.008037887
1.366742922,-0.185020886,-1.100273557,-1.06374139
1.385746193,-1.284843687,-1.026694714,-1.039133733
1.505227842,0.520253179,-0.994948689,-1.049894638
1.481255651,-0.190565219,-0.918242159,-0.98525009
1.398642627,0.418965109,-1.156180967,-1.065007376
1.341481088,-1.405367133,-1.057424242,-0.944184584
1.42166655,-0.725836111,-0.967346848,-0.884603991
1.421249312,-0.714574179,-0.943967387,-1.099426444
1.422842402,-0.250478689,-1.062037579,-1.039212859
1.492521066,0.884377378,-1.002298753,-0.983825855
1.456411055,-0.070010585,-1.085417043,-1.015159072
1.449697325,-0.333505107,-1.118805102,-1.094125116
1.429480273,1.750333199,-1.093079877,-0.913246984
1.378084196,1.452151933,-1.08924846,-1.04237783
1.422425164,0.237700007,-1.115442838,-1.132104777
1.417114869,0.602621205,-0.9368519,-0.990630544
1.370384269,0.400045064,-0.954914291,-0.954391617
1.425421688,-0.501775672,-1.01324566,-0.967921869
1.424701004,-0.783913021,-0.903307452,-1.046650541
1.449128366,-1.498428796,-1.049995985,-0.911743623
1.406987376,-1.516267693,-1.084165967,-0.979711389
1.478524643,-0.02853203,-1.059457239,-0.994507634
1.409414942,0.374541125,-1.034357548,-0.816636225
1.407480477,0.216943403,-1.023097874,-0.940149244
1.425269967,0.068008702,-1.07673771,-1.14104582
1.513762248,-1.041620639,-0.94154343,-1.022596757
1.489183166,-0.974846054,-1.049526832,-0.990630544
1.439114665,0.408985306,-1.051403442,-1.090327151
1.378842809,-1.246864992,-1.001360447,-1.060497292
1.466197172,0.030168616,-1.019579227,-0.981293876
1.438773289,-1.229850814,-0.949519031,-1.06192153
1.361394698,1.282495282,-1.049057679,-1.046413169
1.440480171,-0.709203105,-0.982281556,-0.926698114
1.44211119,1.339497977,-0.93943224,-1.044197689
1.460317914,0.354893386,-0.856157567,-0.851688287
1.475566051,1.523812462,-1.143513833,-0.968554866
1.405925316,1.668554259,-1.008397743,-0.977021165
1.534813777,-1.155729984,-1.001204063,-1.100217686
1.510386415,-0.758859555,-0.939979587,-0.9005871
1.374556645,-1.673546618,-0.93622636,-1.075610032
1.441656019,1.627422222,-1.094018181,-1.080040993
1.380473832,-1.39175579,-0.725811204,-1.054642094
1.433349199,-0.327752858,-1.202627122,-1.110345596
1.428494072,-1.704624348,-1.083071277,-1.075689155
1.442224982,0.510100113,1.366220594,1.176504687
1.370004964,-0.038407875,1.213276687,0.486066116
1.393408191,-0.960915915,0.770630754,1.353268356
1.453528322,1.125590603,1.010837131,0.815856165
1.470635061,0.434939725,1.161278888,0.835558114
1.458383449,1.211319884,1.191461069,1.015486755
1.444614614,-1.128874612,0.828727543,1.040094408
1.369284279,-1.63645848,1.060098207,0.255577053
1.497489985,1.215096961,0.47264035,0.869581559
1.449242158,-0.649289636,0.861646451,0.745435544
1.480724621,-0.002335048,1.615653649,1.105213701
1.475907427,1.097383799,1.314379178,0.900835653
1.412676979,0.883476425,1.295065708,0.917214382
1.427507875,0.173212459,0.939838631,0.801692916
1.391625451,-1.394784382,0.979091107,0.800031306
1.424018253,1.668623563,1.257846229,0.52523264
1.46505925,-0.857999198,1.125388676,0.70682289
1.360863668,0.344740324,0.742716143,1.195969262
1.401335706,1.475299532,1.121088106,0.467155411
1.457738628,1.592631519,1.263632453,0.819575006
1.343377624,0.996996681,1.219844831,0.966429693
1.389653057,1.34486905,0.942809935,1.180381778
1.453338671,-1.13081513,1.027726642,1.231891691
1.452921433,0.154084504,0.47256216,1.210053388
1.440025,0.671648175,1.133911624,1.26963398
1.496503788,0.180177532,0.904104806,1.027355397
1.386694461,-0.074584661,1.42165885,0.921961841
1.462707551,1.11512567,1.232277388,0.751369868
1.420338977,0.709661521,0.729110705,0.678733767
1.509400218,-0.44660954,1.1151455,1.138604153
1.404635673,1.716720667,1.710500766,0.357410017
1.382635881,-0.987909895,0.812619952,0.946094751
1.462707551,0.03467339,1.229618854,1.477414368
1.395342656,-1.056867562,1.266525563,0.751765489
1.429556131,-1.55756606,0.861568258,1.310936858
1.494948628,-1.304040946,0.993243891,0.974104748
1.37982901,-0.650225242,1.003721644,0.849088367
1.365870517,-0.50187963,1.098646952,0.890865992
1.414801099,-0.163744501,0.837485067,1.036771188
1.438773289,-1.102331107,0.781421274,0.90866896
1.495365866,1.376298501,0.966189396,1.083217149
1.476552249,-0.421660032,1.357932221,1.117082344
1.434904359,0.089735567,0.870560358,0.759915291
1.493545192,-0.46961853,1.164250191,0.720986139
1.409187358,-1.02540346,1.259644649,0.623030265
1.411690782,1.214715786,1.301164698,0.940714296
1.42993544,-0.299927228,0.511971019,1.525759311
1.445676674,1.276569773,0.714566958,0.876386248
1.377894545,-0.005280476,1.097474069,1.007574325
1.35217754,-1.232519026,1.171052909,1.075542091
1.473707445,-0.589618729,0.719414875,1.379141999
1.480383246,0.594062138,0.912705944,0.708563626
1.468548875,-1.410720881,0.956258989,0.825192833
1.409870109,-0.471039268,0.864148601,1.311174233
1.448066306,0.207102208,1.067213694,0.898699299
1.420452769,-1.124785666,1.023738842,0.877098367
1.486641808,1.711176334,1.087465468,1.056394012
1.368563595,1.306405228,1.561779236,1.049431073
1.430694054,0.723037229,1.181608856,1.212664489
1.425763064,-0.932605155,0.375682046,1.060824972
1.393066816,-0.117449303,1.111001316,0.980039069
1.480952208,0.204919127,0.946875928,1.136705167
1.436535378,-0.821302628,0.725279288,0.861194385
1.42215965,0.311682226,0.996606154,1.393859118
1.433918162,0.205023082,0.814183796,0.75105337
1.472455735,-0.923075828,0.778840931,1.365136999
1.501131331,-1.085420888,0.800969318,1.19794737
1.347701721,0.234304102,1.122886526,0.981938054
1.382863464,-0.882983356,0.96994262,1.061062344
1.468093704,1.326780657,0.987614054,1.151738785
1.377477307,-1.175585635,0.888309986,1.435636743
1.403914993,-0.518200764,0.709093508,1.779510915
1.408011506,-0.543392839,0.960403176,1.119376947
1.436573308,0.55424688,0.814261989,0.845448649
1.416697631,0.053420173,0.824426973,1.440621574
1.415104541,0.749927255,0.759136503,0.892685852
1.381991059,0.170544247,1.038517163,0.944116642
1.458648966,-1.380084965,0.556931521,1.0045676
1.405204636,-0.993211665,1.374978118,1.007574325
1.445297365,0.467581997,0.812228992,0.921487094
1.526582816,-0.218979937,0.916771937,1.199450731
0.231781056,-0.565535527,0.676878326,1.032102856
0.326190524,1.197320436,0.670701146,0.565427781
0.248584349,-0.806540836,0.649980218,0.752952352
0.343069676,-1.104999319,0.97494692,1.311253356
0.337759381,1.149812414,0.906997917,0.844024414
0.241794756,-0.748914405,0.915208094,1.021579325
0.283935742,-0.688169284,1.231104505,1.068579152
0.464713373,-0.885235742,1.450902725,0.738472608
0.282911616,0.893941355,0.98065495,0.903367631
0.389003733,0.847368944,0.198733141,0.933276614
0.20765714,0.110665431,1.075189297,0.875753252
0.223284582,0.194280934,1.023113305,1.262987537
0.296414938,0.688904916,0.852107004,0.853123707
0.273542737,0.09112165,0.728328782,0.777006136
0.199615837,0.736863414,1.153537861,0.708880121
0.370493559,1.442795869,0.435733642,1.111148023
0.27096345,0.317503779,0.819579056,0.86886944
0.2459292,0.209042726,1.308514765,0.901626898
0.361390196,1.576587603,0.860395375,0.797736703
0.349062726,1.603720192,0.67484533,1.19407028
0.33093186,1.10188857,1.13383343,1.123649662
0.282190932,-1.176555893,0.733333082,0.852411588
0.230984513,-0.376265791,0.846320784,1.219785674
0.123640681,1.054553811,0.656939322,0.789824273
0.278246139,-0.875810373,0.608303786,1.123887034
0.24824297,1.175351007,1.428617954,1.074434351
0.439148093,1.150470807,0.602673949,1.035584322
0.2926598,-0.62104818,1.138134001,0.839909949
0.436379155,-1.170006649,1.036093206,1.157119236
0.400572591,-1.327257849,0.887762639,0.855022689
0.322700899,-1.137745549,1.228367778,1.26575689
0.270166907,1.545989803,1.079646251,0.923386079
0.402089818,1.672123424,0.995276887,0.495561033
0.202953738,-0.180030984,0.908014413,1.126972882
0.401900163,-1.263290084,1.025224492,0.26341036
0.217784633,-0.764161328,1.104745942,0.809209725
0.311701001,-0.893829462,1.001923224,0.659902186
0.181598763,1.709166512,1.472405575,0.586395719
0.189033177,-1.09789564,1.186378576,1.251435392
0.170902311,-0.576139066,0.034842331,0.894743083
0.281887486,1.170291805,1.186847729,0.532907697
0.176364327,-0.111004014,0.91395702,1.08693599
0.214560524,-1.022908511,0.800656549,1.051804802
0.448023875,-0.588509863,0.877832232,0.856446927
0.307794141,-1.058946688,0.726686745,1.074909095
0.182129793,-1.57064376,0.675314483,0.938103195
0.518005982,-1.131092347,0.695722644,0.663541904
0.31151135,-0.713881139,1.089967618,1.114233871
0.393745069,1.241675116,1.055015713,0.321408465
0.288715007,-0.543184926,1.33854056,0.645264193
0.221350117,-0.636260449,0.688294387,1.106084066
0.41119318,-1.180540883,1.116865729,1.034318336
0.284997802,-0.099949995,1.307576458,1.138129406
0.16528857,-1.044947241,0.808162999,0.776689641
0.267246245,0.128545911,0.89784943,0.689969417
0.268535888,-1.291392931,0.985972017,1.145725337
0.136575044,1.317251334,1.009742441,1.517688632
0.242629229,-0.779165683,1.290452371,0.874645512
0.229656936,1.712597068,0.414152601,0.864042859
0.352248901,-1.289591022,0.760074807,1.134885308
0.239253399,0.551855886,0.728328782,1.292896522
0.230567275,1.416945405,0.453326883,1.316712934
0.399434669,0.706023052,1.215622454,1.083691893
0.435999847,1.571944223,1.104589556,0.967774805
0.434558482,1.096794713,0.67906771,1.380407988
0.210653665,1.684424917,1.394369779,0.853123707
0.269332431,0.475448019,1.253545659,0.987714127
0.33942833,-1.546466995,1.002939721,1.049747571
0.382024487,-1.355326045,1.036796936,0.907798592
0.266677282,0.529505285,0.588364779,0.834371248
0.31044929,0.848755027,1.155258088,0.661563796
0.229732799,-0.250478689,0.622612954,0.372522758
0.255942901,0.414980118,0.961263289,1.04088565
0.342690371,-0.907274475,1.014355778,1.150235423
0.135019884,-1.653677107,0.796668748,1.121513304
0.458341018,0.6670741,1.516193194,1.582174932
0.165174779,0.198612443,0.649041912,1.151105789
0.4171483,-1.637702491,1.232981118,1.080210423
0.252377417,-0.027111293,1.082617554,0.962077856
0.259735968,0.573305534,0.928969918,0.69669498
0.267397966,-0.672679798,0.879005115,1.326682594
